index,subject,image
199,https://resource.swissartresearch.net/artwork/SFF_D_1163,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1163
200,https://resource.swissartresearch.net/artwork/SFF_D_1164,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1164
201,https://resource.swissartresearch.net/artwork/SFF_D_1165,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1165
202,https://resource.swissartresearch.net/artwork/SFF_D_1166,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1166
203,https://resource.swissartresearch.net/artwork/SFF_D_1167,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1167
204,https://resource.swissartresearch.net/artwork/SFF_D_1168,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1168
205,https://resource.swissartresearch.net/artwork/SFF_D_1169,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1169
206,https://resource.swissartresearch.net/artwork/SFF_D_1170,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1170
207,https://resource.swissartresearch.net/artwork/SFF_D_1171,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1171
208,https://resource.swissartresearch.net/artwork/SFF_D_1172,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1172
209,https://resource.swissartresearch.net/artwork/SFF_D_1173,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1173
210,https://resource.swissartresearch.net/artwork/SFF_D_1174,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1174
211,https://resource.swissartresearch.net/artwork/SFF_D_1175,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1175
212,https://resource.swissartresearch.net/artwork/SFF_D_1176,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1176
213,https://resource.swissartresearch.net/artwork/SFF_D_1177,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1177
214,https://resource.swissartresearch.net/artwork/SFF_D_1178,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1178
215,https://resource.swissartresearch.net/artwork/SFF_D_1179,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1179
216,https://resource.swissartresearch.net/artwork/SFF_D_1180,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1180
217,https://resource.swissartresearch.net/artwork/SFF_D_1181,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1181
218,https://resource.swissartresearch.net/artwork/SFF_D_1182,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1182
219,https://resource.swissartresearch.net/artwork/SFF_D_1183,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1183
220,https://resource.swissartresearch.net/artwork/SFF_D_1184,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1184
221,https://resource.swissartresearch.net/artwork/SFF_D_1185,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1185
222,https://resource.swissartresearch.net/artwork/SFF_D_1186,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1186
